,timestamps,response,length,service,ParameterID_Service01,S1_PID_05_EngineCoolantTemp,S1_PID_0B_IntakeManiAbsPress,S1_PID_0C_EngineRPM,S1_PID_0D_VehicleSpeed,S1_PID_11_ThrottlePosition,S1_PID_1F_TimeSinceEngStart
135,2019-09-27 17:20:05.069350004,4,3,1,5,49.0,,,,,
136,2019-09-27 17:20:05.109250069,4,3,1,11,,28.0,,,,
137,2019-09-27 17:20:05.130199909,4,4,1,12,,,2375.0,,,
138,2019-09-27 17:20:05.149349928,4,3,1,13,,,,46.0,,
139,2019-09-27 17:20:05.189249992,4,3,1,17,,,,,16.86288,
140,2019-09-27 17:20:05.229500055,4,4,1,31,,,,,,172.0
141,2019-09-27 17:20:05.309499979,4,3,1,11,,28.0,,,,
142,2019-09-27 17:20:05.329600096,4,4,1,12,,,2382.0,,,
143,2019-09-27 17:20:05.349499940,4,3,1,13,,,,46.0,,
144,2019-09-27 17:20:05.389300108,4,3,1,17,,,,,16.86288,
145,2019-09-27 17:20:05.429250002,4,4,1,31,,,,,,172.0
146,2019-09-27 17:20:05.509299994,4,3,1,11,,28.0,,,,
147,2019-09-27 17:20:05.529350042,4,4,1,12,,,2386.0,,,
148,2019-09-27 17:20:05.550100088,4,3,1,13,,,,46.0,,
149,2019-09-27 17:20:05.589299917,4,3,1,17,,,,,16.86288,
150,2019-09-27 17:20:05.629600048,4,4,1,31,,,,,,172.0
151,2019-09-27 17:20:05.709300040,4,3,1,11,,28.0,,,,
152,2019-09-27 17:20:05.729549885,4,4,1,12,,,2391.0,,,
153,2019-09-27 17:20:05.749550104,4,3,1,13,,,,46.0,,
154,2019-09-27 17:20:05.789350033,4,3,1,17,,,,,16.86288,
155,2019-09-27 17:20:05.829550028,4,4,1,31,,,,,,173.0
156,2019-09-27 17:20:05.909349918,4,3,1,11,,28.0,,,,
157,2019-09-27 17:20:05.930399895,4,4,1,12,,,2395.0,,,
158,2019-09-27 17:20:05.949549913,4,3,1,13,,,,46.0,,
159,2019-09-27 17:20:05.984999895,4,3,1,17,,,,,16.86288,
160,2019-09-27 17:20:06.029400000,4,4,1,31,,,,,,173.0
161,2019-09-27 17:20:06.069499969,4,3,1,5,49.0,,,,,
162,2019-09-27 17:20:06.109400034,4,3,1,11,,28.0,,,,
163,2019-09-27 17:20:06.129600048,4,4,1,12,,,2395.0,,,
164,2019-09-27 17:20:06.149300098,4,3,1,13,,,,46.0,,
165,2019-09-27 17:20:06.185300112,4,3,1,17,,,,,16.86288,
166,2019-09-27 17:20:06.229449987,4,4,1,31,,,,,,173.0
167,2019-09-27 17:20:06.309400082,4,3,1,11,,28.0,,,,
168,2019-09-27 17:20:06.329550028,4,4,1,12,,,2391.0,,,
169,2019-09-27 17:20:06.349349976,4,3,1,13,,,,46.0,,
170,2019-09-27 17:20:06.389349937,4,3,1,17,,,,,16.86288,
171,2019-09-27 17:20:06.429600000,4,4,1,31,,,,,,173.0
172,2019-09-27 17:20:06.509449959,4,3,1,11,,28.0,,,,
173,2019-09-27 17:20:06.529400000,4,4,1,12,,,2376.0,,,
174,2019-09-27 17:20:06.549449920,4,3,1,13,,,,46.0,,
175,2019-09-27 17:20:06.589449883,4,3,1,17,,,,,16.86288,
176,2019-09-27 17:20:06.629600048,4,4,1,31,,,,,,173.0
177,2019-09-27 17:20:06.705300093,4,3,1,11,,28.0,,,,
178,2019-09-27 17:20:06.729500055,4,4,1,12,,,2361.0,,,
179,2019-09-27 17:20:06.749350070,4,3,1,13,,,,46.0,,
180,2019-09-27 17:20:06.790549994,4,3,1,17,,,,,16.86288,
181,2019-09-27 17:20:06.829349995,4,4,1,31,,,,,,174.0
182,2019-09-27 17:20:06.909650087,4,3,1,11,,28.0,,,,
183,2019-09-27 17:20:06.929850000,4,4,1,12,,,2354.0,,,
184,2019-09-27 17:20:06.949500084,4,3,1,13,,,,46.0,,
185,2019-09-27 17:20:06.989350080,4,3,1,17,,,,,16.86288,
186,2019-09-27 17:20:07.029500008,4,4,1,31,,,,,,174.0
187,2019-09-27 17:20:07.069499969,4,3,1,5,49.0,,,,,
188,2019-09-27 17:20:07.109400034,4,3,1,11,,28.0,,,,
189,2019-09-27 17:20:07.130599976,4,4,1,12,,,2349.0,,,
190,2019-09-27 17:20:07.149499893,4,3,1,13,,,,46.0,,
191,2019-09-27 17:20:07.189500093,4,3,1,17,,,,,16.86288,
192,2019-09-27 17:20:07.229500055,4,4,1,31,,,,,,174.0
193,2019-09-27 17:20:07.309449900,4,3,1,11,,28.0,,,,
194,2019-09-27 17:20:07.329699993,4,4,1,12,,,2348.0,,,
195,2019-09-27 17:20:07.349649906,4,3,1,13,,,,46.0,,
196,2019-09-27 17:20:07.385400057,4,3,1,17,,,,,16.86288,
197,2019-09-27 17:20:07.429549932,4,4,1,31,,,,,,174.0
198,2019-09-27 17:20:07.509399890,4,3,1,11,,28.0,,,,
199,2019-09-27 17:20:07.529500007,4,4,1,12,,,2351.0,,,
200,2019-09-27 17:20:07.549599886,4,3,1,13,,,,46.0,,
201,2019-09-27 17:20:07.589699984,4,3,1,17,,,,,16.86288,
202,2019-09-27 17:20:07.629699945,4,4,1,31,,,,,,174.0
203,2019-09-27 17:20:07.709599972,4,3,1,11,,28.0,,,,
204,2019-09-27 17:20:07.729449987,4,4,1,12,,,2354.0,,,
205,2019-09-27 17:20:07.749550104,4,3,1,13,,,,46.0,,
206,2019-09-27 17:20:07.789449930,4,3,1,17,,,,,16.86288,
207,2019-09-27 17:20:07.829400063,4,4,1,31,,,,,,175.0
208,2019-09-27 17:20:07.909450054,4,3,1,11,,28.0,,,,
209,2019-09-27 17:20:07.930000067,4,4,1,12,,,2359.0,,,
210,2019-09-27 17:20:07.949500084,4,3,1,13,,,,46.0,,
211,2019-09-27 17:20:07.989399900,4,3,1,17,,,,,16.86288,
212,2019-09-27 17:20:08.030750036,4,4,1,31,,,,,,175.0
213,2019-09-27 17:20:08.069449902,4,3,1,5,49.0,,,,,
214,2019-09-27 17:20:08.109450102,4,3,1,11,,28.0,,,,
215,2019-09-27 17:20:08.129549980,4,4,1,12,,,2368.0,,,
216,2019-09-27 17:20:08.149600029,4,3,1,13,,,,46.0,,
217,2019-09-27 17:20:08.189450026,4,3,1,17,,,,,16.86288,
218,2019-09-27 17:20:08.229599953,4,4,1,31,,,,,,175.0
219,2019-09-27 17:20:08.309499979,4,3,1,11,,28.0,,,,
220,2019-09-27 17:20:08.329600096,4,4,1,12,,,2372.0,,,
221,2019-09-27 17:20:08.349499940,4,3,1,13,,,,46.0,,
222,2019-09-27 17:20:08.389450073,4,3,1,17,,,,,16.86288,
223,2019-09-27 17:20:08.429699898,4,4,1,31,,,,,,175.0
224,2019-09-27 17:20:08.509550095,4,3,1,11,,28.0,,,,
225,2019-09-27 17:20:08.529649973,4,4,1,12,,,2381.0,,,
226,2019-09-27 17:20:08.549449920,4,3,1,13,,,,46.0,,
227,2019-09-27 17:20:08.589550018,4,3,1,17,,,,,16.86288,
228,2019-09-27 17:20:08.629499912,4,4,1,31,,,,,,175.0
229,2019-09-27 17:20:08.709450006,4,3,1,11,,28.0,,,,
230,2019-09-27 17:20:08.729850054,4,4,1,12,,,2389.0,,,
231,2019-09-27 17:20:08.749500036,4,3,1,13,,,,46.0,,
232,2019-09-27 17:20:08.789499998,4,3,1,17,,,,,16.86288,
233,2019-09-27 17:20:08.829449892,4,4,1,31,,,,,,176.0
234,2019-09-27 17:20:08.909499884,4,3,1,11,,28.0,,,,
235,2019-09-27 17:20:08.929699898,4,4,1,12,,,2391.0,,,
236,2019-09-27 17:20:08.949749947,4,3,1,13,,,,46.0,,
237,2019-09-27 17:20:08.989599943,4,3,1,17,,,,,16.86288,
238,2019-09-27 17:20:09.029500008,4,4,1,31,,,,,,176.0
239,2019-09-27 17:20:09.069750070,4,3,1,5,49.0,,,,,
240,2019-09-27 17:20:09.109549999,4,3,1,11,,28.0,,,,
241,2019-09-27 17:20:09.129600048,4,4,1,12,,,2400.0,,,
242,2019-09-27 17:20:09.149549960,4,3,1,13,,,,46.0,,
243,2019-09-27 17:20:09.189549923,4,3,1,17,,,,,16.86288,
244,2019-09-27 17:20:09.229949950,4,4,1,31,,,,,,176.0
245,2019-09-27 17:20:09.309550047,4,3,1,11,,28.0,,,,
246,2019-09-27 17:20:09.329600096,4,4,1,12,,,2405.0,,,
247,2019-09-27 17:20:09.349550009,4,3,1,13,,,,47.0,,
248,2019-09-27 17:20:09.389549970,4,3,1,17,,,,,17.25504,
249,2019-09-27 17:20:09.429549932,4,4,1,31,,,,,,176.0
250,2019-09-27 17:20:09.509749888,4,3,1,11,,28.0,,,,
251,2019-09-27 17:20:09.529649973,4,4,1,12,,,2408.0,,,
252,2019-09-27 17:20:09.549799919,4,3,1,13,,,,47.0,,
253,2019-09-27 17:20:09.589550018,4,3,1,17,,,,,16.86288,
254,2019-09-27 17:20:09.629549980,4,4,1,31,,,,,,176.0
255,2019-09-27 17:20:09.709549904,4,3,1,11,,28.0,,,,
256,2019-09-27 17:20:09.729899883,4,4,1,12,,,2417.0,,,
257,2019-09-27 17:20:09.749550104,4,3,1,13,,,,47.0,,
258,2019-09-27 17:20:09.789649963,4,3,1,17,,,,,16.86288,
259,2019-09-27 17:20:09.829799890,4,4,1,31,,,,,,177.0
260,2019-09-27 17:20:09.909600019,4,3,1,11,,28.0,,,,
261,2019-09-27 17:20:09.929699898,4,4,1,12,,,2419.0,,,
262,2019-09-27 17:20:09.949599980,4,3,1,13,,,,47.0,,
263,2019-09-27 17:20:09.989550114,4,3,1,17,,,,,16.86288,
264,2019-09-27 17:20:10.030200005,4,4,1,31,,,,,,177.0
265,2019-09-27 17:20:10.069649935,4,3,1,5,49.0,,,,,
266,2019-09-27 17:20:10.109600067,4,3,1,11,,28.0,,,,
267,2019-09-27 17:20:10.129650116,4,4,1,12,,,2421.0,,,
268,2019-09-27 17:20:10.150000095,4,3,1,13,,,,47.0,,
269,2019-09-27 17:20:10.189650059,4,3,1,17,,,,,16.86288,
270,2019-09-27 17:20:10.229899883,4,4,1,31,,,,,,177.0
271,2019-09-27 17:20:10.309600115,4,3,1,11,,28.0,,,,
272,2019-09-27 17:20:10.329900026,4,4,1,12,,,2423.0,,,
273,2019-09-27 17:20:10.349600077,4,3,1,13,,,,47.0,,
274,2019-09-27 17:20:10.389600039,4,3,1,17,,,,,16.86288,
275,2019-09-27 17:20:10.431200027,4,4,1,31,,,,,,177.0
276,2019-09-27 17:20:10.509649992,4,3,1,11,,28.0,,,,
277,2019-09-27 17:20:10.530050039,4,4,1,12,,,2428.0,,,
278,2019-09-27 17:20:10.545599937,4,3,1,13,,,,47.0,,
279,2019-09-27 17:20:10.589950085,4,3,1,17,,,,,17.25504,
280,2019-09-27 17:20:10.629699945,4,4,1,31,,,,,,177.0
281,2019-09-27 17:20:10.709800005,4,3,1,11,,28.0,,,,
282,2019-09-27 17:20:10.729749918,4,4,1,12,,,2438.0,,,
283,2019-09-27 17:20:10.749799967,4,3,1,13,,,,47.0,,
284,2019-09-27 17:20:10.789900064,4,3,1,17,,,,,17.25504,
285,2019-09-27 17:20:10.829750060,4,4,1,31,,,,,,178.0
286,2019-09-27 17:20:10.909749985,4,3,1,11,,28.0,,,,
287,2019-09-27 17:20:10.930000067,4,4,1,12,,,2442.0,,,
288,2019-09-27 17:20:10.949899912,4,3,1,13,,,,47.0,,
289,2019-09-27 17:20:10.989700079,4,3,1,17,,,,,17.25504,
290,2019-09-27 17:20:11.029900074,4,4,1,31,,,,,,178.0
291,2019-09-27 17:20:11.070100069,4,3,1,5,49.0,,,,,
292,2019-09-27 17:20:11.109750032,4,3,1,11,,28.0,,,,
293,2019-09-27 17:20:11.129800080,4,4,1,12,,,2448.0,,,
294,2019-09-27 17:20:11.149950027,4,3,1,13,,,,47.0,,
295,2019-09-27 17:20:11.189749956,4,3,1,17,,,,,17.25504,
296,2019-09-27 17:20:11.230000019,4,4,1,31,,,,,,178.0
297,2019-09-27 17:20:11.309950113,4,3,1,11,,28.0,,,,
298,2019-09-27 17:20:11.329900026,4,4,1,12,,,2452.0,,,
299,2019-09-27 17:20:11.349800000,4,3,1,13,,,,48.0,,
300,2019-09-27 17:20:11.389750004,4,3,1,17,,,,,17.25504,
301,2019-09-27 17:20:11.430099964,4,4,1,31,,,,,,178.0
302,2019-09-27 17:20:11.510699986,4,3,1,11,,28.0,,,,
303,2019-09-27 17:20:11.530349969,4,4,1,12,,,2452.0,,,
304,2019-09-27 17:20:11.549849987,4,3,1,13,,,,48.0,,
305,2019-09-27 17:20:11.589950085,4,3,1,17,,,,,17.25504,
306,2019-09-27 17:20:11.629800080,4,4,1,31,,,,,,178.0
307,2019-09-27 17:20:11.705300093,4,3,1,11,,28.0,,,,
308,2019-09-27 17:20:11.730050087,4,4,1,12,,,2467.0,,,
309,2019-09-27 17:20:11.749799967,4,3,1,13,,,,48.0,,
310,2019-09-27 17:20:11.789750099,4,3,1,17,,,,,17.25504,
311,2019-09-27 17:20:11.829750060,4,4,1,31,,,,,,179.0
312,2019-09-27 17:20:11.909699917,4,3,1,11,,28.0,,,,
313,2019-09-27 17:20:11.929800034,4,4,1,12,,,2463.0,,,
314,2019-09-27 17:20:11.950000048,4,3,1,13,,,,48.0,,
315,2019-09-27 17:20:11.989700079,4,3,1,17,,,,,17.25504,
316,2019-09-27 17:20:12.030100107,4,4,1,31,,,,,,179.0
317,2019-09-27 17:20:12.069799900,4,3,1,5,49.0,,,,,
318,2019-09-27 17:20:12.109999895,4,3,1,11,,28.0,,,,
319,2019-09-27 17:20:12.129849900,4,4,1,12,,,2461.0,,,
320,2019-09-27 17:20:12.149749994,4,3,1,13,,,,48.0,,
321,2019-09-27 17:20:12.189749956,4,3,1,17,,,,,17.25504,
322,2019-09-27 17:20:12.225349903,4,4,1,31,,,,,,179.0
323,2019-09-27 17:20:12.309750080,4,3,1,11,,28.0,,,,
324,2019-09-27 17:20:12.329849958,4,4,1,12,,,2453.0,,,
325,2019-09-27 17:20:12.349950075,4,3,1,13,,,,48.0,,
326,2019-09-27 17:20:12.389849900,4,3,1,17,,,,,17.25504,
327,2019-09-27 17:20:12.429949999,4,4,1,31,,,,,,179.0
328,2019-09-27 17:20:12.509850025,4,3,1,11,,29.0,,,,
329,2019-09-27 17:20:12.530200005,4,4,1,12,,,2453.0,,,
330,2019-09-27 17:20:12.549900055,4,3,1,13,,,,48.0,,
331,2019-09-27 17:20:12.589750050,4,3,1,17,,,,,17.25504,
332,2019-09-27 17:20:12.629800080,4,4,1,31,,,,,,179.0
333,2019-09-27 17:20:12.709749937,4,3,1,11,,29.0,,,,
334,2019-09-27 17:20:12.730149984,4,4,1,12,,,2457.0,,,
335,2019-09-27 17:20:12.749900103,4,3,1,13,,,,48.0,,
336,2019-09-27 17:20:12.789750099,4,3,1,17,,,,,17.25504,
337,2019-09-27 17:20:12.829849958,4,4,1,31,,,,,,180.0
338,2019-09-27 17:20:12.909950018,4,3,1,11,,28.0,,,,
339,2019-09-27 17:20:12.929899930,4,4,1,12,,,2463.0,,,
340,2019-09-27 17:20:12.949749947,4,3,1,13,,,,48.0,,
341,2019-09-27 17:20:12.989949942,4,3,1,17,,,,,17.25504,
342,2019-09-27 17:20:13.030400038,4,4,1,31,,,,,,180.0
343,2019-09-27 17:20:13.071000099,4,3,1,5,49.0,,,,,
344,2019-09-27 17:20:13.109899998,4,3,1,11,,28.0,,,,
345,2019-09-27 17:20:13.130049944,4,4,1,12,,,2470.0,,,
346,2019-09-27 17:20:13.150049925,4,3,1,13,,,,48.0,,
347,2019-09-27 17:20:13.189800024,4,3,1,17,,,,,17.25504,
348,2019-09-27 17:20:13.230149984,4,4,1,31,,,,,,180.0
349,2019-09-27 17:20:13.309799900,4,3,1,11,,28.0,,,,
350,2019-09-27 17:20:13.329950094,4,4,1,12,,,2478.0,,,
351,2019-09-27 17:20:13.345750093,4,3,1,13,,,,48.0,,
352,2019-09-27 17:20:13.389800072,4,3,1,17,,,,,17.25504,
353,2019-09-27 17:20:13.430099964,4,4,1,31,,,,,,180.0
354,2019-09-27 17:20:13.509900093,4,3,1,11,,28.0,,,,
355,2019-09-27 17:20:13.529900074,4,4,1,12,,,2486.0,,,
356,2019-09-27 17:20:13.549799919,4,3,1,13,,,,48.0,,
357,2019-09-27 17:20:13.589799880,4,3,1,17,,,,,17.25504,
358,2019-09-27 17:20:13.629899979,4,4,1,31,,,,,,180.0
359,2019-09-27 17:20:13.710000038,4,3,1,11,,29.0,,,,
360,2019-09-27 17:20:13.730050087,4,4,1,12,,,2491.0,,,
361,2019-09-27 17:20:13.749900103,4,3,1,13,,,,48.0,,
362,2019-09-27 17:20:13.789999962,4,3,1,17,,,,,17.25504,
363,2019-09-27 17:20:13.830250025,4,4,1,31,,,,,,181.0
364,2019-09-27 17:20:13.909849882,4,3,1,11,,28.0,,,,
365,2019-09-27 17:20:13.930000067,4,4,1,12,,,2497.0,,,
366,2019-09-27 17:20:13.949850082,4,3,1,13,,,,48.0,,
367,2019-09-27 17:20:13.989850044,4,3,1,17,,,,,17.25504,
368,2019-09-27 17:20:14.030450106,4,4,1,31,,,,,,181.0
369,2019-09-27 17:20:14.069950104,4,3,1,5,49.0,,,,,
370,2019-09-27 17:20:14.109999895,4,3,1,11,,28.0,,,,
371,2019-09-27 17:20:14.130000114,4,4,1,12,,,2500.0,,,
372,2019-09-27 17:20:14.149849892,4,3,1,13,,,,49.0,,
373,2019-09-27 17:20:14.189899920,4,3,1,17,,,,,17.25504,
374,2019-09-27 17:20:14.230000019,4,4,1,31,,,,,,181.0
375,2019-09-27 17:20:14.309950113,4,3,1,11,,28.0,,,,
376,2019-09-27 17:20:14.330399990,4,4,1,12,,,2505.0,,,
